         20948676 function calls (19986510 primitive calls) in 125.411 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.176    0.176  125.425  125.425 C:\Users\elrod\OneDrive\Code\GNN-DQN-MARL\Agents-4\Baseline1-21\main.py:62(train)
142720/3568    0.290    0.000   92.981    0.026 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\nn\modules\module.py:1528(_wrapped_call_impl)
142720/3568    1.006    0.000   92.971    0.026 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\nn\modules\module.py:1534(_call_impl)
     3568    0.135    0.000   92.934    0.026 C:\Users\elrod\OneDrive\Code\GNN-DQN-MARL\Agents-4\Baseline1-21\gnn.py:173(forward)
     3568    2.529    0.001   91.231    0.026 C:\Users\elrod\OneDrive\Code\GNN-DQN-MARL\Agents-4\Baseline1-21\gnn.py:71(forward)
     2400    0.043    0.000   90.834    0.038 C:\Users\elrod\OneDrive\Code\GNN-DQN-MARL\Agents-4\Baseline1-21\network.py:42(step)
      584    0.229    0.000   87.167    0.149 C:\Users\elrod\OneDrive\Code\GNN-DQN-MARL\Agents-4\Baseline1-21\network.py:88(learn)
    77152   14.575    0.000   35.701    0.000 C:\Users\elrod\OneDrive\Code\GNN-DQN-MARL\Agents-4\Baseline1-21\gnn.py:114(processAdj)
     2400    0.095    0.000   29.497    0.012 C:\Users\elrod\OneDrive\Code\GNN-DQN-MARL\Agents-4\Baseline1-21\network.py:55(action)
    10704    0.868    0.000   19.142    0.002 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\nn\conv\transformer_conv.py:194(forward)
7136/3568    0.009    0.000   17.801    0.005 {built-in method builtins.next}
     3568    0.044    0.000   17.795    0.005 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\utils\data\dataloader.py:626(__next__)
     3568    0.011    0.000   17.489    0.005 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\utils\data\dataloader.py:673(_next_data)
     3568    0.016    0.000   17.435    0.005 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\utils\data\_utils\fetch.py:46(fetch)
     3568    0.013    0.000   17.403    0.005 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\loader\dataloader.py:24(__call__)
     3568    0.025    0.000   17.389    0.005 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\batch.py:82(from_data_list)
     3568    0.438    0.000   17.312    0.005 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\collate.py:37(collate)
    77152   15.443    0.000   15.443    0.000 {method 'nonzero' of 'torch._C.TensorBase' objects}
      584    0.006    0.000   13.540    0.023 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\_tensor.py:466(backward)
      584    0.007    0.000   13.533    0.023 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\autograd\__init__.py:165(backward)
      584    0.007    0.000   13.488    0.023 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\autograd\graph.py:739(_engine_run_backward)
      584   13.480    0.023   13.480    0.023 {method 'run_backward' of 'torch._C._EngineBase' objects}
    10704    0.366    0.000   12.913    0.001 C:\Users\elrod\AppData\Local\Temp\torch_geometric.nn.conv.transformer_conv_TransformerConv_propagate_yn2z6c5l.py:150(propagate)
